city_name,latitude,longitude
dompierre-sur-chalaronne,46.1415406621,4.90141714714
domsure,46.424406642700006,5.2931347965099995
dortan,46.3133221173,5.64146584117
douvres,45.984297391999995,5.37106901673
drom,46.2196603059,5.367999949180001
druillat,46.067579544,5.29361666429
échallon,46.2271364137,5.73330448395
échenevex,46.316084520699995,6.019261879959999
étrez,46.3380891758,5.19286414645
évosges,45.965147537,5.50283599885
faramans,45.3879958398,5.15388883556
fareins,46.020997974,4.7620080898
farges,45.1147728849,1.19318015196
feillens,46.3365833672,4.885070509709999
ferney-voltaire,46.251978924300005,6.10826403805
flaxieu,45.811329800500005,5.74459048839
foissiat,46.378475978199994,5.18483641417
francheleins,46.0735946256,4.81293575559
frans,45.993906507700004,4.78033196905
garnerans,46.2136224825,4.828431887430001
